seed,nx,ny,nz,sent_tail_radius,repair_tail_frac,W_decay,BSI,RFC,RLI,SPI,D_q50,D_q95,sent_q95
1,48,48,3,18,0.5,0.0002,1.02446,0.608614,0,0.0289855,1.67383,7.84364,0.189253
2,48,48,3,18,0.5,0.0002,1.02154,0.329297,0,0.0362319,1.62315,8.01189,0.186282
3,48,48,3,18,0.5,0.0002,1.02248,0.270245,0,0.0217391,1.57498,7.62281,0.188832
4,48,48,3,18,0.5,0.0002,1.02205,0.668556,0,0.0362319,1.44242,7.55926,0.187888
1,48,48,3,18,0.5,0.0004,1.02571,0.573823,0,0.00724638,1.56026,7.75079,0.192365
2,48,48,3,18,0.5,0.0004,1.02394,0.684094,0,0.0217391,1.54383,7.71466,0.191346
3,48,48,3,18,0.5,0.0004,1.02343,0.792342,0,0.0362319,1.49903,7.57317,0.189047
4,48,48,3,18,0.5,0.0004,1.02304,0.461524,0,0.0144928,1.54303,7.66178,0.18763
1,48,48,3,18,0.5,0.0006,1.02178,0.357288,0,0.0507246,1.41441,7.45282,0.189372
4,48,48,3,2,0.65,0.0006,1.02264,0.620302,0,0.0289855,1.63173,8.69314,0.184143
2,48,48,3,18,0.5,0.0006,1.02292,0.210399,0,0.0507246,1.78008,7.62259,0.189368
3,48,48,3,18,0.5,0.0006,1.02098,0.408008,0,0.0289855,1.6965,7.59436,0.187914
4,48,48,3,18,0.5,0.0006,1.0268,0.782809,0,0.0362319,1.58002,7.57837,0.190714
1,48,48,3,18,0.5,0.0008,1.02049,0.320105,0,0.0217391,1.55601,7.57395,0.18855
2,48,48,3,18,0.5,0.0008,1.0193,0.820142,0,0.0217391,1.37752,7.51233,0.187845
3,48,48,3,18,0.5,0.0008,1.02286,0.53456,0,0.0289855,1.60386,7.35217,0.186934
4,48,48,3,18,0.5,0.0008,1.01989,0,0,0,1.4629,7.43849,0.191067
1,48,48,3,18,0.5,0.001,1.02009,0.231763,0,0.0144928,1.65707,7.55133,0.190074
2,48,48,3,18,0.5,0.001,1.01964,0.919058,0,0.00724638,1.63991,7.58232,0.188397
3,48,48,3,18,0.5,0.001,1.01822,0.515952,0,0.0144928,1.61799,7.68682,0.189243
1,48,48,3,2,0.65,0.0008,1.0284,0.36165,0,0.0217391,1.46473,8.96165,0.18536
4,48,48,3,18,0.5,0.001,1.02426,0.909424,0,0.0362319,1.66777,7.57478,0.193686
1,48,48,3,18,0.5,0.002,1.01946,0.116861,0,0.0289855,1.3701,7.4513,0.186469
2,48,48,3,18,0.5,0.002,1.01791,0.422504,0,0.0144928,1.53215,7.59067,0.186155
3,48,48,3,18,0.5,0.002,1.01963,0.694288,0,0.0289855,1.48322,7.57239,0.187525
4,48,48,3,18,0.5,0.002,1.01333,0.785339,0,0.0217391,1.71588,7.54251,0.188785
1,48,48,3,18,0.55,0,1.04397,0.269366,0,0.0144928,2.29773,8.22342,0.192942
2,48,48,3,18,0.55,0,1.04447,0.876799,0,0.0144928,2.12284,7.80933,0.19384
3,48,48,3,18,0.55,0,1.03561,0.467624,0,0.0362319,2.21464,7.92833,0.194017
4,48,48,3,18,0.55,0,1.03994,0.670138,0,0.0362319,2.21013,8.10392,0.192409
1,48,48,3,18,0.55,0.0001,1.03334,0.843062,0,0.0362319,1.63835,7.15357,0.196055
2,48,48,3,2,0.65,0.0008,1.0269,0.750898,0,0.0289855,1.50528,8.92141,0.185714
2,48,48,3,18,0.55,0.0001,1.03403,0.787361,0,0.0289855,1.55077,6.9206,0.194209
3,48,48,3,18,0.55,0.0001,1.03204,0.681827,0,0.0217391,1.60645,6.7488,0.19564
4,48,48,3,18,0.55,0.0001,1.03085,0.589796,0,0.0289855,1.8024,7.01682,0.193918
1,48,48,3,18,0.55,0.0002,1.03561,0.821514,0,0.0144928,1.54919,6.74284,0.196614
2,48,48,3,18,0.55,0.0002,1.02994,0.540387,0,0.0217391,1.56085,6.62194,0.19553
3,48,48,3,18,0.55,0.0002,1.03786,0.818241,0,0.0144928,1.38815,6.46391,0.194541
4,48,48,3,18,0.55,0.0002,1.02712,0.800177,0,0.0144928,1.60952,6.62759,0.194115
1,48,48,3,18,0.55,0.0004,1.02279,0.433647,0,0.0217391,1.49526,6.45721,0.197014
2,48,48,3,18,0.55,0.0004,1.0293,0.465777,0,0.0362319,1.34902,6.40253,0.191535
3,48,48,3,18,0.55,0.0004,1.02797,0.794387,0,0.0289855,1.31568,6.4655,0.196395
3,48,48,3,2,0.65,0.0008,1.01638,0.939373,0,0.0289855,1.50493,9.00593,0.187228
3,48,48,3,2,0.5,0.0002,1.00773,0.725784,0,0.0362319,2.803,18.0429,0.172237
4,48,48,3,18,0.55,0.0004,1.03104,0.203614,0,0.0434783,1.39326,6.51935,0.194388
1,48,48,3,18,0.55,0.0006,1.03027,0.395145,0,0.0507246,1.34142,6.17508,0.193792
2,48,48,3,18,0.55,0.0006,1.02975,0.697827,0,0.0217391,1.2397,6.40268,0.193234
3,48,48,3,18,0.55,0.0006,1.02524,0.62973,0,0.0217391,1.16978,6.19633,0.191731
4,48,48,3,18,0.55,0.0006,1.02787,0.238386,0,0.0217391,1.16211,6.07605,0.193769
1,48,48,3,18,0.55,0.0008,1.0254,0.891798,0,0.0362319,1.23886,6.14074,0.196169
2,48,48,3,18,0.55,0.0008,1.02787,0.129141,0,0.0289855,1.03264,6.02336,0.191994
3,48,48,3,18,0.55,0.0008,1.02824,0.907757,0,0.0217391,1.27878,6.34009,0.193198
4,48,48,3,18,0.55,0.0008,1.02933,0.710224,0,0.0217391,1.16539,6.35831,0.191077
1,48,48,3,18,0.55,0.001,1.02216,0.515549,0,0.0144928,1.19136,6.10504,0.193616
4,48,48,3,2,0.65,0.0008,1.02145,0.590397,0,0.0434783,1.5298,8.86485,0.186781
2,48,48,3,18,0.55,0.001,1.03198,0.721429,0,0.0289855,1.03311,6.01549,0.191514
3,48,48,3,18,0.55,0.001,1.02716,0.817608,0,0.0362319,1.01846,5.95989,0.192805
4,48,48,3,18,0.55,0.001,1.02564,0.794685,0,0.057971,1.16836,6.27189,0.191724
1,48,48,3,18,0.55,0.002,1.03006,0.180024,0,0.0217391,0.995451,6.1623,0.190283
2,48,48,3,18,0.55,0.002,1.02655,0.83468,0,0.0217391,1.08554,6.12993,0.19093
3,48,48,3,18,0.55,0.002,1.01841,0.486954,0,0.0144928,1.01008,6.26958,0.191257
4,48,48,3,18,0.55,0.002,1.0253,0.704147,0,0.0434783,0.985796,6.14064,0.190111
1,48,48,3,18,0.6,0,1.04075,0.241895,0,0.0289855,2.73408,9.86055,0.188436
2,48,48,3,18,0.6,0,1.01586,0,0,0.0434783,2.44027,8.79051,0.191562
3,48,48,3,18,0.6,0,1.03809,0.534374,0,0.0362319,3.01056,10.2846,0.182268
1,48,48,3,2,0.65,0.001,1.01962,0.587302,0,0.0362319,1.50322,9.07091,0.185075
4,48,48,3,18,0.6,0,1.02262,0.558285,0,0.0289855,2.95019,10.1389,0.188313
1,48,48,3,18,0.6,0.0001,1.02356,0.484259,0,0.057971,1.90982,7.14853,0.194063
2,48,48,3,18,0.6,0.0001,1.01444,0.455321,0,0.0217391,2.15153,7.62318,0.192379
3,48,48,3,18,0.6,0.0001,1.01188,0.41148,0,0.0289855,1.96333,6.62981,0.192619
4,48,48,3,18,0.6,0.0001,1.01973,0.0874647,0,0.0217391,2.2003,7.51019,0.195695
1,48,48,3,18,0.6,0.0002,1.00746,0.858476,0,0.0362319,1.90098,6.4007,0.195157
2,48,48,3,18,0.6,0.0002,1.01786,0.572615,0,0.0217391,1.85226,6.60108,0.199653
3,48,48,3,18,0.6,0.0002,1.01324,0.799944,0,0.0217391,1.74047,6.1513,0.196064
4,48,48,3,18,0.6,0.0002,1.01068,0.86768,0,0.0289855,1.88542,6.38407,0.191066
1,48,48,3,18,0.6,0.0004,1.02158,0.33003,0,0.0362319,1.50839,5.92052,0.197005
2,48,48,3,2,0.65,0.001,1.02141,0.235211,0,0.0289855,1.53397,8.9814,0.185429
2,48,48,3,18,0.6,0.0004,1.01597,0.752299,0,0.0144928,1.58892,5.89859,0.196415
3,48,48,3,18,0.6,0.0004,1.02066,0.57912,0,0,1.3346,5.71948,0.196904
4,48,48,3,18,0.6,0.0004,1.02014,0.456719,0,0.0289855,1.36588,5.70444,0.197197
1,48,48,3,18,0.6,0.0006,1.01756,0.777907,0,0.0289855,1.48556,5.7214,0.197007
2,48,48,3,18,0.6,0.0006,1.01744,0.663,0,0.0362319,1.26139,5.52232,0.195959
3,48,48,3,18,0.6,0.0006,1.01358,0.849931,0,0.0144928,1.28471,5.45908,0.196501
4,48,48,3,18,0.6,0.0006,1.01697,0.993912,0,0.0144928,1.4582,5.75405,0.197451
1,48,48,3,18,0.6,0.0008,1.02341,0.632038,0,0.0144928,1.05843,4.99079,0.19563
2,48,48,3,18,0.6,0.0008,1.01668,0.536523,0,0.0289855,1.3045,5.39039,0.19688
3,48,48,3,18,0.6,0.0008,1.01823,0.288121,0,0.0289855,1.43806,5.58829,0.19643
3,48,48,3,2,0.65,0.001,1.02323,0.533669,0,0.00724638,1.57567,8.85535,0.18772
4,48,48,3,18,0.6,0.0008,1.02197,0.636942,0,0.0362319,1.19732,5.41789,0.195414
1,48,48,3,18,0.6,0.001,1.02598,0.894732,0,0.0434783,1.10895,5.48945,0.194861
2,48,48,3,18,0.6,0.001,1.01969,0.674974,0,0.0362319,0.976234,5.16234,0.194352
3,48,48,3,18,0.6,0.001,1.01595,0.466536,0,0.0362319,1.35881,5.41118,0.198312
4,48,48,3,18,0.6,0.001,1.01657,0.473088,0,0.0362319,1.35755,5.48583,0.197872
