sent_tail_radius,repair_tail_frac,W_decay
1,0.655,0.0022
1,0.655,0.0025
1,0.655,0.003
1,0.66,0.0
1,0.66,1e-06
1,0.66,5e-05
1,0.66,7.5e-05
1,0.66,9e-05
1,0.66,0.0001
1,0.66,0.00011
1,0.66,0.000125
1,0.66,0.00015
1,0.66,0.00018
1,0.66,0.0002
1,0.66,0.00022
1,0.66,0.00025
1,0.66,0.0003
1,0.66,0.00036
1,0.66,0.0004
1,0.66,0.00044
1,0.66,0.00045
1,0.66,0.0005
1,0.66,0.00054
1,0.66,0.0006
1,0.66,0.00066
1,0.66,0.00075
1,0.66,0.0009
1,0.66,0.001
1,0.66,0.0015
1,0.66,0.0018
1,0.66,0.002
1,0.66,0.0022
1,0.66,0.0025
1,0.66,0.003
1,0.67,0.0
1,0.67,1e-06
1,0.67,5e-05
1,0.67,7.5e-05
1,0.67,9e-05
1,0.67,0.0001
1,0.67,0.00011
1,0.67,0.000125
1,0.67,0.00015
1,0.67,0.00018
1,0.67,0.0002
1,0.67,0.00022
1,0.67,0.00025
1,0.67,0.0003
1,0.67,0.00036
1,0.67,0.0004
1,0.67,0.00044
1,0.67,0.00045
1,0.67,0.0005
1,0.67,0.00054
1,0.67,0.0006
1,0.67,0.00066
1,0.67,0.00075
1,0.67,0.0009
1,0.67,0.001
1,0.67,0.0015
1,0.67,0.0018
1,0.67,0.002
1,0.67,0.0022
1,0.67,0.0025
1,0.67,0.003
1,0.68,0.0
1,0.68,1e-06
1,0.68,5e-05
1,0.68,7.5e-05
1,0.68,9e-05
1,0.68,0.0001
1,0.68,0.00011
1,0.68,0.000125
1,0.68,0.00015
1,0.68,0.00018
1,0.68,0.0002
1,0.68,0.00022
1,0.68,0.00025
1,0.68,0.0003
1,0.68,0.00036
1,0.68,0.0004
1,0.68,0.00044
1,0.68,0.0005
1,0.68,0.0006
1,0.68,0.00075
1,0.68,0.0009
1,0.68,0.001
1,0.68,0.0011
1,0.68,0.00125
1,0.68,0.0015
1,0.69,0.0
1,0.69,1e-06
1,0.69,5e-05
1,0.69,7.5e-05
1,0.69,9e-05
1,0.69,0.0001
1,0.69,0.00011
1,0.69,0.000125
1,0.69,0.00015
1,0.69,0.00018
1,0.69,0.0002
1,0.69,0.00022
1,0.69,0.00025
1,0.69,0.0003
1,0.69,0.00036
1,0.69,0.0004
1,0.69,0.00044
1,0.69,0.0005
1,0.69,0.0006
1,0.69,0.00075
1,0.69,0.0009
1,0.69,0.001
1,0.69,0.0011
1,0.69,0.00125
1,0.69,0.0015
1,0.695,0.0
1,0.695,1e-06
1,0.695,5e-05
1,0.695,7.5e-05
1,0.695,9e-05
1,0.695,0.0001
1,0.695,0.00011
1,0.695,0.000125
1,0.695,0.00015
1,0.695,0.00018
1,0.695,0.0002
1,0.695,0.00022
1,0.695,0.00025
1,0.695,0.0003
1,0.695,0.00036
1,0.695,0.0004
1,0.695,0.00044
1,0.695,0.0005
1,0.695,0.0006
1,0.695,0.00075
1,0.695,0.0009
1,0.695,0.001
1,0.695,0.0011
1,0.695,0.00125
1,0.695,0.0015
1,0.7,0.0
1,0.7,1e-06
1,0.7,5e-05
1,0.7,7.5e-05
1,0.7,9e-05
1,0.7,0.0001
1,0.7,0.00011
1,0.7,0.000125
1,0.7,0.00015
1,0.7,0.00018
1,0.7,0.0002
1,0.7,0.00022
1,0.7,0.00025
1,0.7,0.0003
1,0.7,0.00036
1,0.7,0.0004
1,0.7,0.00044
1,0.7,0.0005
1,0.7,0.0006
1,0.7,0.00075
1,0.7,0.0009
1,0.7,0.001
1,0.7,0.0011
1,0.7,0.00125
1,0.7,0.0015
1,0.705,0.0
1,0.705,1e-06
1,0.705,5e-05
1,0.705,7.5e-05
1,0.705,9e-05
1,0.705,0.0001
1,0.705,0.00011
1,0.705,0.000125
1,0.705,0.00015
1,0.705,0.00018
1,0.705,0.0002
1,0.705,0.00022
1,0.705,0.00025
1,0.705,0.0003
1,0.705,0.00036
1,0.705,0.0004
1,0.705,0.00044
1,0.705,0.0005
1,0.705,0.0006
1,0.705,0.00075
1,0.705,0.0009
1,0.705,0.001
1,0.705,0.0011
1,0.705,0.00125
1,0.705,0.0015
1,0.71,0.0
1,0.71,1e-06
1,0.71,5e-05
1,0.71,7.5e-05
1,0.71,9e-05
1,0.71,0.0001
1,0.71,0.00011
1,0.71,0.000125
1,0.71,0.00015
1,0.71,0.00018
1,0.71,0.0002
1,0.71,0.00022
1,0.71,0.00025
1,0.71,0.0003
1,0.71,0.00036
1,0.71,0.0004
1,0.71,0.00044
1,0.71,0.0005
1,0.71,0.0006
1,0.71,0.00075
1,0.71,0.0009
1,0.71,0.001
1,0.71,0.0011
1,0.71,0.00125
1,0.71,0.0015
1,0.72,0.0
1,0.72,1e-06
1,0.72,5e-05
1,0.72,7.5e-05
1,0.72,9e-05
1,0.72,0.0001
1,0.72,0.00011
1,0.72,0.000125
1,0.72,0.00015
1,0.72,0.00018
1,0.72,0.0002
1,0.72,0.00022
1,0.72,0.00025
1,0.72,0.0003
1,0.72,0.00036
1,0.72,0.0004
1,0.72,0.00044
1,0.72,0.0005
1,0.72,0.0006
1,0.72,0.00075
1,0.72,0.0009
1,0.72,0.001
1,0.72,0.0011
1,0.72,0.00125
1,0.72,0.0015
1,0.73,0.0
1,0.73,1e-06
1,0.73,5e-05
1,0.73,7.5e-05
1,0.73,9e-05
1,0.73,0.0001
1,0.73,0.00011
1,0.73,0.000125
1,0.73,0.00015
1,0.73,0.0003
1,0.73,0.00045
1,0.73,0.00054
1,0.73,0.0006
1,0.73,0.00066
1,0.73,0.00075
1,0.73,0.0009
1,0.73,0.001
1,0.73,0.0015
1,0.73,0.0018
1,0.73,0.002
1,0.73,0.0022
1,0.73,0.0025
1,0.73,0.003
1,0.74,0.0
1,0.74,1e-06
1,0.74,5e-05
1,0.74,7.5e-05
1,0.74,9e-05
1,0.74,0.0001
1,0.74,0.00011
1,0.74,0.000125
1,0.74,0.00015
1,0.74,0.0003
1,0.74,0.00045
1,0.74,0.00054
1,0.74,0.0006
1,0.74,0.00066
1,0.74,0.00075
1,0.74,0.0009
1,0.74,0.001
1,0.74,0.0015
1,0.74,0.0018
1,0.74,0.002
1,0.74,0.0022
1,0.74,0.0025
1,0.74,0.003
1,0.745,0.0
1,0.745,1e-06
1,0.745,5e-05
1,0.745,7.5e-05
1,0.745,9e-05
1,0.745,0.0001
1,0.745,0.00011
1,0.745,0.000125
1,0.745,0.00015
1,0.745,0.0003
1,0.745,0.00045
1,0.745,0.00054
1,0.745,0.0006
1,0.745,0.00066
1,0.745,0.00075
1,0.745,0.0009
1,0.745,0.001
1,0.745,0.0015
1,0.745,0.0018
1,0.745,0.002
1,0.745,0.0022
1,0.745,0.0025
1,0.745,0.003
1,0.75,0.0
1,0.75,1e-06
1,0.75,5e-05
1,0.75,7.5e-05
1,0.75,9e-05
1,0.75,0.0001
1,0.75,0.00011
1,0.75,0.000125
1,0.75,0.00015
1,0.75,0.0003
1,0.75,0.00045
1,0.75,0.00054
1,0.75,0.0006
1,0.75,0.00066
1,0.75,0.00075
1,0.75,0.0009
1,0.75,0.001
1,0.75,0.0015
1,0.75,0.0018
1,0.75,0.002
1,0.75,0.0022
1,0.75,0.0025
1,0.75,0.003
1,0.755,0.0
1,0.755,1e-06
1,0.755,5e-05
1,0.755,7.5e-05
1,0.755,9e-05
1,0.755,0.0001
1,0.755,0.00011
1,0.755,0.000125
1,0.755,0.00015
1,0.755,0.0003
1,0.755,0.00045
1,0.755,0.00054
1,0.755,0.0006
1,0.755,0.00066
1,0.755,0.00075
1,0.755,0.0009
1,0.755,0.001
1,0.755,0.0015
1,0.755,0.0018
1,0.755,0.002
1,0.755,0.0022
1,0.755,0.0025
1,0.755,0.003
1,0.76,0.0
1,0.76,1e-06
1,0.76,5e-05
1,0.76,7.5e-05
1,0.76,9e-05
1,0.76,0.0001
1,0.76,0.00011
1,0.76,0.000125
1,0.76,0.00015
1,0.76,0.0003
1,0.76,0.00045
1,0.76,0.00054
1,0.76,0.0006
1,0.76,0.00066
1,0.76,0.00075
1,0.76,0.0009
1,0.76,0.001
1,0.76,0.0015
1,0.76,0.0018
1,0.76,0.002
1,0.76,0.0022
1,0.76,0.0025
1,0.76,0.003
1,0.77,0.0
1,0.77,1e-06
1,0.77,5e-05
1,0.77,7.5e-05
1,0.77,9e-05
1,0.77,0.0001
1,0.77,0.00011
1,0.77,0.000125
1,0.77,0.00015
1,0.77,0.0003
1,0.77,0.00045
1,0.77,0.00054
1,0.77,0.0006
1,0.77,0.00066
1,0.77,0.00075
1,0.77,0.0009
1,0.77,0.001
1,0.77,0.0015
1,0.77,0.0018
1,0.77,0.002
1,0.77,0.0022
1,0.77,0.0025
1,0.77,0.003
1,0.88,0.0
1,0.88,1e-06
1,0.88,5e-05
1,0.88,7.5e-05
1,0.88,9e-05
1,0.88,0.0001
1,0.88,0.00011
1,0.88,0.000125
1,0.88,0.00015
1,0.88,0.00018
1,0.88,0.0002
1,0.88,0.00022
1,0.88,0.00025
1,0.88,0.0003
1,0.88,0.00036
1,0.88,0.0004
1,0.88,0.00044
1,0.88,0.00045
1,0.88,0.0005
1,0.88,0.00054
1,0.88,0.0006
1,0.88,0.00066
1,0.88,0.00072
1,0.88,0.00075
1,0.88,0.0008
1,0.88,0.00088
1,0.88,0.0009
1,0.88,0.001
1,0.88,0.0011
1,0.88,0.0012
1,0.88,0.00125
1,0.88,0.0015
1,0.88,0.0018
